text
Unidad I Administracion y Arquitectura de los sistemasgestores de bases de datos
Unidad II Bases de datos distribuidas y Paralelas 
Unidad III Optimizacion Diseño fisico Objetos y estructuras avanzadas
Unidad IV Gestion de Bases de datos 
administracion de bases de datos
