text
Unidad I Introduccion a los sistemas cognitivos
Unidad II Metodologias de desarrollo de sistemas cognitivos
Unidad III Herramientas de ingenieria en ambientes inteligentes
Unidad IV Caso de Estudio 

ingenieria del software
