text
Unidad I Fundamentos de Gestion de Proyectos
Unidad II Fases Direccion de un Proyecto
Unidad III Herramientas ejecucion monitorizacion y control y cierre proyecto
Unidad IV Informe Final del Proyecto 
gestion de proyectos de software
