text
Unidad I Metodos para calculo de raices de funciones
Unidad II Metodos para resolucion de sistemas decuaciones lineales
Unidad III Interpolacion y ajuste de curvas
Unidad IV Diferenciacion e integracion numerica
metodos numericos
