text
Unidad I Introduccion al aseguramiento de Calidad Software
Unidad II Estandares de Calidad Software
Unidad III Desarrollo de Aplicaciones centrado en el Usuario
Unidad IV Calidad enfocada al desarrollo de software  
aseguramiento del a calidad del software
